# Atmospheric Model ECMWF year/month/day   hour h
# Col. #1          #2           #3            #4        [ #5 ]        [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [k]       p [mbar]      pw / p
    0.000     1.21788E-03  1.04061E+03  2.83924E-04  2.91910E+02  1.02049E+03  1.45399E-02
    1.000     1.11060E-03  9.24772E+02  2.59035E-04  2.84495E+02  9.06892E+02  1.03318E-02
    2.000     9.95483E-04  8.19982E+02  2.32348E-04  2.81430E+02  8.04127E+02  4.46223E-03
    3.000     8.96265E-04  7.25868E+02  2.09246E-04  2.76698E+02  7.11833E+02  2.55844E-03
    4.000     8.09109E-04  6.40972E+02  1.88915E-04  2.70657E+02  6.28579E+02  1.82703E-03
    5.000     7.30368E-04  5.64331E+02  1.70541E-04  2.63988E+02  5.53420E+02  1.29175E-03
    6.000     6.58526E-04  4.95202E+02  1.53772E-04  2.56923E+02  4.85628E+02  9.47299E-04
    7.000     5.93068E-04  4.32905E+02  1.38492E-04  2.49392E+02  4.24535E+02  6.73194E-04
    8.000     5.32773E-04  3.76899E+02  1.24415E-04  2.41702E+02  3.69612E+02  4.49556E-04
    9.000     4.77024E-04  3.26666E+02  1.11399E-04  2.33969E+02  3.20350E+02  2.75636E-04
   10.000     4.25022E-04  2.81803E+02  9.92572E-05  2.26528E+02  2.76354E+02  1.55311E-04
   11.000     3.75652E-04  2.41982E+02  8.77239E-05  2.20089E+02  2.37303E+02  8.52928E-05
   12.000     3.27971E-04  2.07030E+02  7.65784E-05  2.15700E+02  2.03027E+02  4.98602E-05
   13.000     2.82308E-04  1.76708E+02  6.59095E-05  2.13902E+02  1.73291E+02  3.03541E-05
   14.000     2.41876E-04  1.50714E+02  5.64757E-05  2.12903E+02  1.47800E+02  1.62245E-05
   15.000     2.08083E-04  1.28397E+02  4.85877E-05  2.10816E+02  1.25914E+02  9.87255E-06
   16.000     1.79259E-04  1.09187E+02  4.18601E-05  2.08083E+02  1.07076E+02  8.42631E-06
   17.000     1.53612E-04  9.26911E+01  3.58592E-05  2.06202E+02  9.08989E+01  8.19327E-06
   18.000     1.30534E-04  7.86082E+01  3.04715E-05  2.05787E+02  7.70883E+01  8.38590E-06
   19.000     1.10294E-04  6.66777E+01  2.57486E-05  2.06567E+02  6.53885E+01  8.84885E-06
   20.000     9.29581E-05  5.66226E+01  2.16990E-05  2.08149E+02  5.55278E+01  9.09807E-06
   21.000     7.83112E-05  4.81444E+01  1.82847E-05  2.10027E+02  4.72136E+01  8.83196E-06
   22.000     6.60660E-05  4.09866E+01  1.54286E-05  2.11897E+02  4.01942E+01  8.53126E-06
   23.000     5.58582E-05  3.49565E+01  1.30433E-05  2.13768E+02  3.42806E+01  8.58099E-06
   24.000     4.73177E-05  2.98664E+01  1.10454E-05  2.15675E+02  2.92889E+01  9.01896E-06
   25.000     4.01197E-05  2.55482E+01  9.36344E-06  2.17630E+02  2.50542E+01  9.30192E-06
   26.000     3.40548E-05  2.18834E+01  7.94836E-06  2.19598E+02  2.14602E+01  9.22979E-06
   27.000     2.89344E-05  1.87627E+01  6.75522E-06  2.21537E+02  1.84000E+01  8.83703E-06
   28.000     2.46113E-05  1.61033E+01  5.74801E-06  2.23453E+02  1.57920E+01  8.34625E-06
   29.000     2.09761E-05  1.38458E+01  4.89954E-06  2.25397E+02  1.35781E+01  8.10108E-06
   30.000     1.79204E-05  1.19316E+01  4.18458E-06  2.27421E+02  1.17009E+01  8.43483E-06
   32.000     1.31246E-05  8.90326E+00  3.06217E-06  2.31901E+02  8.73111E+00  1.00289E-05
   34.000     9.62700E-06  6.67258E+00  2.24678E-06  2.36872E+02  6.54356E+00  9.39604E-06
   36.000     7.11042E-06  5.03278E+00  1.65937E-06  2.41904E+02  4.93547E+00  8.92709E-06
   38.000     5.28778E-06  3.81774E+00  1.23412E-06  2.46733E+02  3.74393E+00  8.77766E-06
   40.000     3.96194E-06  2.91369E+00  9.24474E-07  2.51378E+02  2.85735E+00  9.17987E-06
   42.000     2.98353E-06  2.23291E+00  6.96203E-07  2.55808E+02  2.18974E+00  8.97274E-06
   44.000     2.26878E-06  1.72354E+00  5.29270E-07  2.59730E+02  1.69022E+00  8.11507E-06
   46.000     1.74331E-06  1.33887E+00  4.06317E-07  2.62816E+02  1.31299E+00  7.83034E-06
   48.000     1.33279E-06  1.03219E+00  3.10974E-07  2.64736E+02  1.01223E+00  8.03610E-06
   50.000     1.09738e-06  8.72656e-01   2.53289e-07   266.34   8.38955e-01  0.00000e+00
   55.000     5.99974e-07  4.61036e-01   1.38481e-07   257.19   4.42930e-01  0.00000e+00
   60.000     3.25544e-07  2.36175e-01   7.51395e-08   242.81   2.26896e-01  0.00000e+00
   65.000     1.70152e-07  1.15918e-01   3.92732e-08   227.93   1.11324e-01  0.00000e+00
   70.000     8.43368e-08  5.45084e-02   1.94660e-08   215.90   5.22651e-02  0.00000e+00
   75.000     3.95973e-08  2.48012e-02   9.13953e-09   208.66   2.37169e-02  0.00000e+00
